epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.9816,1.55176,3.98293,1.19279,0.47786,0.05173,0.06803,0.03621,1.51023,2.76425,1.11854,0.000623106,0.000207702,0.000623106,0.000207702,0.000623106,0.000207702,0.000623106,0.000207702
2,144.993,1.43833,2.42767,1.11756,0.30057,0.19762,0.13936,0.08286,1.4587,1.62713,1.12414,0.00122339,0.000407798,0.00122339,0.000407798,0.00122339,0.000407798,0.00122339,0.000407798
3,203.438,1.37384,1.72726,1.09434,0.41643,0.30979,0.1875,0.11509,1.40968,1.35446,1.10809,0.00179893,0.000599644,0.00179893,0.000599644,0.00179893,0.000599644,0.00179893,0.000599644
4,259.935,1.32784,1.50271,1.07465,0.38718,0.30471,0.24059,0.14987,1.38793,1.27098,1.0927,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875
5,315.591,1.29614,1.38152,1.06126,0.41403,0.3791,0.27745,0.17601,1.37645,1.22843,1.08638,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755
6,370.553,1.27779,1.29605,1.05464,0.46757,0.39202,0.31437,0.20392,1.36327,1.16917,1.08768,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125
7,425.89,1.25708,1.22958,1.04496,0.40684,0.42116,0.33842,0.22263,1.35428,1.17667,1.08145,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075
8,480.487,1.2372,1.16499,1.04291,0.45833,0.42174,0.36001,0.23754,1.34456,1.13381,1.07329,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375
9,535.369,1.22659,1.12253,1.03721,0.47521,0.44177,0.37198,0.24703,1.34358,1.14119,1.07191,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526
10,590.987,1.20564,1.07248,1.02556,0.39322,0.4552,0.3856,0.2595,1.33487,1.13426,1.07046,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625
11,646.093,1.2142,1.04011,1.03338,0.41685,0.43465,0.38568,0.25954,1.33547,1.13468,1.06838,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125
12,700.814,1.19574,1.02014,1.02179,0.40664,0.46282,0.38899,0.26111,1.32964,1.14217,1.0694,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875
13,755.195,1.18412,0.98257,1.01978,0.41837,0.4677,0.40213,0.27138,1.32834,1.12233,1.07057,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765
14,809.126,1.17869,0.97807,1.01522,0.41482,0.48879,0.39996,0.27089,1.32376,1.13164,1.06983,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125
15,863.509,1.16692,0.94623,1.01334,0.41603,0.47949,0.40139,0.27266,1.32229,1.16208,1.06676,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175
